location,iso_code,governament_effectiveness
Australia,AUS,1.571555
Austria,AUT,1.527737
Belgium,BEL,1.148132
Brazil,BRA,-0.1869027
Canada,CAN,1.731293
Chile,CHL,1.060289
China,CHN,0.5170006
Colombia,COL,0.0707119
Costa Rica,CRI,0.4225595
Czechia,CZE,0.9553274
Denmark,DNK,1.910211
Estonia,EST,1.174428
Finland,FIN,2.006594
France,FRA,1.37214
Germany,DEU,1.531162
Greece,GRC,0.3490244
Hungary,HUN,0.4960532
Iceland,ISL,1.51794
India,IND,0.1708809
Indonesia,IDN,0.1820512
Ireland,IRL,1.291792
Israel,ISR,1.325325
Italy,ITA,0.4831744
Japan,JPN,1.586322
South Korea,KOR,1.376088
Latvia,LVA,1.104713
Lithuania,LTU,1.043069
Luxembourg,LUX,1.733296
Mexico,MEX,-0.156787
Netherlands,NLD,1.803272
New Zealand,NZL,1.670557
Norway,NOR,1.861935
Poland,POL,0.534801
Portugal,PRT,1.168682
Slovakia,SVK,0.5852264
Slovenia,SVN,1.081091
South Africa,ZAF,0.3676561
Spain,ESP,1.001175
Sweden,SWE,1.709257
Switzerland,CHE,1.951758
Turkey,TUR,0.0478893
United Kingdom,GBR,1.482738
United States,USA,1.488845
